Cluster,SingleR,Freq
11,Astrocyte,25
0,B_cell,65820
1,B_cell,1
3,B_cell,3
4,B_cell,2
5,B_cell,2
6,B_cell,1
7,B_cell,6
9,B_cell,1
10,B_cell,2
11,B_cell,187
12,B_cell,4383
13,B_cell,16
14,B_cell,37
15,B_cell,3702
16,B_cell,1963
18,B_cell,171
11,CMP,8
13,CMP,2807
0,DC,7
6,DC,238
7,DC,765
10,DC,1
11,DC,32
13,DC,30
14,DC,1969
15,DC,6
18,DC,31
1,Embryonic_stem_cells,7
11,Embryonic_stem_cells,17
1,Endothelial_cells,1
11,Endothelial_cells,2
1,Epithelial_cells,10
10,Epithelial_cells,1
11,Epithelial_cells,28
15,Epithelial_cells,5
0,GMP,1
7,GMP,8
9,GMP,3
11,GMP,3
13,GMP,8
14,GMP,6
18,GMP,29
2,HSC_-G-CSF,1
6,HSC_-G-CSF,82
8,HSC_-G-CSF,1
0,HSC_CD34+,1
9,HSC_CD34+,1
13,HSC_CD34+,38
15,HSC_CD34+,5
1,iPS_cells,22
10,iPS_cells,1
11,iPS_cells,65
0,Macrophage,6
6,Macrophage,2384
7,Macrophage,8392
11,Macrophage,44
13,Macrophage,34
14,Macrophage,88
15,Macrophage,1
18,Macrophage,2
13,MEP,6
0,Monocyte,15
6,Monocyte,8272
7,Monocyte,5658
11,Monocyte,21
13,Monocyte,316
14,Monocyte,1915
15,Monocyte,21
16,Monocyte,1
18,Monocyte,246
19,Monocyte,280
11,MSC,1
6,Myelocyte,18
1,Neuroepithelial_cell,1
11,Neuroepithelial_cell,17
1,Neurons,5
10,Neurons,1
11,Neurons,31
6,Neutrophils,4047
7,Neutrophils,33
9,Neutrophils,1
10,Neutrophils,1
13,Neutrophils,93
14,Neutrophils,4
15,Neutrophils,2
18,Neutrophils,1
19,Neutrophils,6
0,NK_cell,16
1,NK_cell,493
2,NK_cell,1552
3,NK_cell,1771
4,NK_cell,40
5,NK_cell,53
6,NK_cell,12
7,NK_cell,13
8,NK_cell,8257
9,NK_cell,8425
10,NK_cell,277
11,NK_cell,353
13,NK_cell,789
14,NK_cell,23
15,NK_cell,52
16,NK_cell,2
17,NK_cell,100
18,NK_cell,58
0,Pre-B_cell_CD34-,1
3,Pre-B_cell_CD34-,1
5,Pre-B_cell_CD34-,1
6,Pre-B_cell_CD34-,9
7,Pre-B_cell_CD34-,7
11,Pre-B_cell_CD34-,16
13,Pre-B_cell_CD34-,4
14,Pre-B_cell_CD34-,6
15,Pre-B_cell_CD34-,38
18,Pre-B_cell_CD34-,60
0,Pro-B_cell_CD34+,6
11,Pro-B_cell_CD34+,17
12,Pro-B_cell_CD34+,5
15,Pro-B_cell_CD34+,8
0,T_cells,6
1,T_cells,41423
2,T_cells,38104
3,T_cells,30259
4,T_cells,20334
5,T_cells,15857
6,T_cells,22
7,T_cells,19
8,T_cells,2960
9,T_cells,1749
10,T_cells,5434
11,T_cells,3570
13,T_cells,25
14,T_cells,33
15,T_cells,41
17,T_cells,1729
18,T_cells,5
1,Tissue_stem_cells,1
11,Tissue_stem_cells,2
15,Tissue_stem_cells,3
