"cluster","cell_type","score","ncells"
"0","Immune system cells",34052.0155185835,65879
"1","Basal cells (Airway progenitor cells)",6300.75295252836,41964
"2","Airway goblet cells",9923.60198972077,39657
"3","Airway goblet cells",2224.67273652538,32034
"4","Pulmonary alveolar type I cells",7210.49794085276,20376
"5","Airway goblet cells",5036.24941466333,15913
"6","Alveolar macrophages",83783.4187452944,15085
"7","Alveolar macrophages",90171.6769902672,14901
"8","Pulmonary alveolar type I cells",413.096692429512,11218
"9","Pulmonary alveolar type I cells",3014.81670557748,10180
"10","Clara cells",3456.52660651979,5718
"11","Immune system cells",6590.17009537771,4439
"12","Immune system cells",7404.04382406123,4388
"13","Cancer stem cells",14596.6095841694,4166
"14","Alveolar macrophages",11639.3544988398,4081
"15","Basal cells (Airway progenitor cells)",6023.90598838539,3884
"16","Immune system cells",1292.98482319412,1966
"17","Airway goblet cells",165.948317577908,1829
"18","Mesothelial cells",1175.0162172287,603
"19","Alveolar macrophages",1965.79826857775,286
