pathological_response,functional.cluster,mean_Exhaustion_UCell,mean_Cytotoxicity_UCell,mean_TPEX_UCell,mean_Memory_UCell,n_cells
MPR,CD8.CM,0.0761306034399057,0.249480392809019,0.0860000038217072,0.181722844700471,2621
MPR,CD8.EM,0.106814833598338,0.310270508443597,0.109215087034308,0.0818201073450322,3070
MPR,CD8.MAIT,0.057968593384564,0.205584502338009,0,0.18110183639399,5
MPR,CD8.NaiveLike,0.0329298455655789,0.0585406924961033,0.159075890372844,0.393515233722871,48
MPR,CD8.TEMRA,0.0520365420549183,0.298183403844726,0.0957313114450009,0.0995965498052309,36
MPR,CD8.TEX,0.219853111591204,0.445509522808344,0.106080851884615,0.033756681676189,1506
MPR,CD8.TPEX,0.197284556497036,0.335815164025683,0.110041781840408,0.0752460840927958,183
non-MPR,CD8.CM,0.0795867941787105,0.255388700804779,0.086543350815727,0.246175687116526,10453
non-MPR,CD8.EM,0.127953503455368,0.357169933564868,0.115414835173313,0.0853020757243059,15148
non-MPR,CD8.MAIT,0.0753391901364622,0.286518134307831,0.0550378081115585,0.22947314151036,34
non-MPR,CD8.NaiveLike,0.0477924489131909,0.0824325387935993,0.124498787001498,0.500105160161195,331
non-MPR,CD8.TEMRA,0.0562854066896833,0.393257626363839,0.0822938230383973,0.0549571508069004,75
non-MPR,CD8.TEX,0.347019087348883,0.502538015673959,0.136968348838165,0.0306173043729989,13039
non-MPR,CD8.TPEX,0.26813278158036,0.335366503157952,0.144761753760924,0.0780454122126929,1253
pCR,CD8.CM,0.0825755934101764,0.242218700967827,0.0947775793419696,0.230788307817077,3870
pCR,CD8.EM,0.10567208366589,0.303918849252384,0.114694301081068,0.102653778462021,4241
pCR,CD8.MAIT,0.0432606637710213,0.270240480961924,0.0476001669449082,0.199989565943239,8
pCR,CD8.NaiveLike,0.0499714923544656,0.0703077797385816,0.140520270101911,0.452446864176613,67
pCR,CD8.TEMRA,0.0413431604961842,0.385902757896746,0.0887073694252325,0.11932387312187,84
pCR,CD8.TEX,0.248616782324933,0.393849823540887,0.164699499165275,0.0446513362979597,1130
pCR,CD8.TPEX,0.225024479919234,0.250595389914027,0.176421741864146,0.101673785313184,385
