functional.cluster,expansion,n,prop
CD8.CM,expanded,6603,0.541096451692207
CD8.CM,non-expanded,5600,0.458903548307793
CD8.EM,expanded,11721,0.70813194780087
CD8.EM,non-expanded,4831,0.29186805219913
CD8.MAIT,expanded,21,0.567567567567568
CD8.MAIT,non-expanded,16,0.432432432432432
CD8.NaiveLike,expanded,52,0.165079365079365
CD8.NaiveLike,non-expanded,263,0.834920634920635
CD8.TEMRA,expanded,91,0.645390070921986
CD8.TEMRA,non-expanded,50,0.354609929078014
CD8.TEX,expanded,10752,0.85367209210004
CD8.TEX,non-expanded,1843,0.14632790789996
CD8.TPEX,expanded,1019,0.79423226812159
CD8.TPEX,non-expanded,264,0.20576773187841
